Timestamp,X,Y,Z
1683632921135,0.00,0.00,0.0
1683632922144,1.76,0.86,10.4
1683632922202,1.41,2.39,10.1
1683632922204,0.86,5.09,9.68
1683632922205,2.00,7.72,7.72
1683632922206,1.72,6.27,8.62
1683632922207,1.29,7.84,7.64
1683632923151,1.29,7.57,7.64
1683632923201,0.23,8.59,7.68
1683632923202,1.29,6.94,7.96
1683632923203,1.68,6.27,9.64
1683632923204,0.27,9.02,12.3
1683632924153,0.65,-1.6,11.1
1683632924221,-1.6,-2.6,11.1
1683632924223,-4.6,1.01,9.25
1683632925153,5.88,5.64,4.0
1683632925210,5.53,0.65,12.5
1683632925211,5.25,0.39,8.90
1683632925212,6.51,-1.6,10.0
1683632997220,0.00,0.00,0.00
1683632997276,1.88,0.65,9.96
1683632998279,1.17,-2.0,10.0
1683632998281,3.17,2.94,9.06
1683632998283,2.43,6.43,7.57
1683632999227,2.70,8.04,7.88
1683632999280,2.47,8.59,7.92
1683632999281,2.39,7.37,8.15
1683633011520,0.47,0.50,12.5
1683633011521,1.60,9.21,7.6
1683633011522,3.37,9.13,2.66
1683633011522,5.64,2.82,5.8

