Timestamp,X,Y,Z
1,-3.65,-5.65,7.1
2,-3.64,-5.64,7.06
3,-4.65,-4.65,8.865
4,-3.65,-2.64,10.35
5,-2.64,-3.64,8.786
6,-2.64,-3.65,9.414
7,-2.64,-3.65,10
8,-3.65,-2.64,10.55
9,-5.65,-2.65,9.453
10,-5.65,-1.65,8.512
11,-5.64,-1.64,7.453
12,-7.64,-2.65,5.766
13,-7.65,-3.64,5.805
14,-5.64,-3.64,8.512
15,-5.65,-4.65,8.551
16,-6.65,-4.65,8.59
17,-7.65,-4.65,5.53
18,-7.64,-4.65,4.628
19,-5.65,-3.64,8.629
20,-5.65,-3.65,8.276
21,-4.65,-2.64,8.433
22,-3.65,-1.64,9.767
23,-3.64,-2.65,8.865
24,-4.65,-2.64,8.825
25,-4.65,-2.65,9.257
26,-4.64,-1.65,9.571
27,-3.64,-1.64,8.865
28,-6.64,-5.64,11.02
29,-4.64,-3.65,5.06
30,3.804,-4.64,6.158
31,3.098,-4.64,10.12
32,7.139,-7.64,34.08
33,0.156,0.647,10.86
34,0.862,-2.64,10.55
35,0.745,-2.65,10.7
36,0.784,-2.65,10.7
37,0.706,-2.65,10.7
38,0.784,-2.65,10.7
39,0.784,-2.65,10.74
40,0.745,-2.65,10.63
41,0.745,-2.65,10.7
42,0.784,-2.65,10.74
43,0.745,-2.65,10.66
44,0.784,-2.65,10.7
45,0.784,-2.65,10.7
46,0.784,-2.65,10.7
47,0.823,-2.65,10.78
48,0.745,-2.65,10.7
49,0.784,-2.65,10.7
50,0.745,-2.65,10.66
51,0.784,-2.65,10.74
52,0.745,-2.65,10.7
53,0.823,-2.65,10.7
54,0.745,-2.65,10.78
55,0.706,-2.65,10.74
56,0.745,-2.65,10.74
57,0.745,-2.65,10.74
58,0.745,-2.65,10.78
59,0.745,-2.65,10.7
60,0.745,-2.65,10.74
61,0.784,-2.65,10.7
62,0.745,-2.65,10.74
63,0.745,-2.65,10.7
64,0.784,-2.65,10.7
65,0.745,-2.65,10.7
66,0.745,-2.65,10.7
67,0.745,-2.65,10.66
68,0.784,-2.65,10.74
69,0.784,-2.65,10.74
70,0.745,-2.65,10.7
71,0.784,-2.65,10.7
72,0.784,-2.65,10.74
73,0.745,-2.65,10.7
74,0.745,-2.65,10.7
75,0.745,-2.65,10.74
76,0.784,-2.65,10.78
77,0.784,-2.65,10.74
78,0.784,-2.65,10.74
79,0.784,-2.65,10.74
80,0.784,-2.65,10.74
81,0.745,-2.65,10.74
82,0.745,-2.65,10.74
83,0.745,-2.65,10.74
84,0.784,-2.65,10.78
85,0.784,-2.65,10.7
86,0.745,-2.65,10.78
87,0.745,-2.65,10.74
88,0.784,-2.65,10.74
89,0.784,-2.65,10.78
90,0.784,-2.65,10.7
91,0.706,-2.65,10.66
92,0.745,-2.65,10.78
93,0.784,-2.65,10.74
94,0.651,0.156,10
95,0.666,-1.65,10.74
96,2.118,0.645,10.86
97,2.275,0.646,11.02
98,2.706,0.649,12.7
99,6.668,0.549,6.158
100,7.531,0.647,9.61
101,8.472,1.137,7.021
102,4.001,2.118,9.179
103,2.079,2,11.49
104,-1.64,4.001,10
105,0.65,2.392,9.453
106,8.747,0.549,9.649
107,8.472,0.649,7.766
108,5.923,0.652,11.14
109,-1.65,2.392,11.14
110,0.65,2.745,9.767
111,5.295,1.647,10.15
112,9.257,0.649,8.865
113,11.21,-1.65,3.687
114,11.33,-1.64,0.078
115,9.767,-2.64,0.645
116,8.002,-2.65,-4.65
117,8.041,-1.64,-5.64
118,6.511,-1.65,-4.64
119,10.15,-2.64,1.686
120,5.491,0.653,8.786
121,2.863,1.294,13.14
122,0.65,2.079,12.43
123,0.654,1.059,8.982
124,5.256,0.745,11.21
125,11.21,0.65,6.982
126,10.78,-3.65,1.922
127,6.197,-1.65,-3.64
128,4.981,0.651,-6.65
129,4.942,0.654,-8.64
130,15.92,-3.65,-3.64
131,0.653,2.314,9.767
132,0.313,3.804,14.63
133,-1.64,5.452,11.53
134,1.765,2.51,7.374
135,10.98,0.649,12.23
136,10.35,-3.65,3.491
137,7.649,-2.65,-2.65
138,7.06,-1.65,-1.64
139,10.74,-3.64,-1.64
140,7.335,-1.64,-3.64
141,8.237,-5.65,5.57
142,9.532,-4.65,0.645
143,10.9,-4.64,0.648
144,5.766,-4.64,4.118
145,3.098,-1.64,5.53
146,8.198,0.039,9.845
147,0.652,-2.65,30
148,15.88,-3.64,-6.65
149,3.961,0.654,10.04
150,1.216,0.902,12.55
151,-1.65,1.49,13.76
152,1.059,0.902,11.37
153,0.653,-1.65,10.7
154,0.117,0.65,11.29
155,0.654,0.651,10.94
156,0.653,0.651,10.94
157,0.653,0.651,10.86
158,0.654,0.651,10.9
159,0.653,0.651,10.9
160,0.653,0.651,10.9
161,0.653,0.65,10.98
162,0.653,0.65,10.94
163,0.653,0.65,10.98
164,0.653,0.65,10.94
165,0.653,0.65,10.94
166,0.653,0.65,10.98
167,0.653,0.651,10.9
168,0.653,0.651,10.98
169,0.653,0.65,10.94
170,0.653,0.651,10.94
171,0.653,0.65,10.94
172,0.653,0.65,10.94
173,0.653,0.65,10.94
174,0.653,0.649,10.86
175,0.653,0.65,10.9
176,0.653,0.65,10.9
177,0.653,0.65,10.9
178,0.653,0.651,10.9
179,0.653,0.65,10.94
180,0.653,0.65,10.94
181,0.653,0.65,10.9
182,0.653,0.65,10.98
183,0.654,0.65,10.94
184,0.653,0.65,10.9
185,0.653,0.65,10.98
186,0.653,0.651,10.9
187,0.653,0.65,10.9
188,0.653,0.65,10.94
189,0.653,0.65,10.9
190,0.653,0.651,10.94
191,0.653,0.65,10.98
192,0.653,0.65,10.9
193,0.653,0.65,10.98
194,0.653,0.65,10.98
195,0.653,0.65,10.98
196,0.653,0.65,10.98
197,0.653,0.65,10.9
198,0.653,0.65,10.9
199,0.653,0.651,10.94
200,0.653,0.65,10.9
201,0.653,0.65,10.94
202,0.653,0.65,10.94
203,0.653,0.65,10.98
204,0.653,0.65,10.86
205,0.653,0.65,10.98
206,0.653,0.65,10.9
207,0.653,0.65,10.9
208,0.654,0.649,10.98
209,0.653,0.651,10.86
210,0.653,0.649,10.94
211,0.653,0.65,10.9
212,0.653,0.649,10.94
213,0.653,0.649,10.94
214,0.653,0.65,10.9
215,0.654,0.65,10.98
216,0.653,0.65,10.9
217,0.653,0.65,10.9
218,0.653,0.65,10.94
219,0.653,0.65,10.9
220,0.653,0.651,10.94
221,0.653,0.65,10.94
222,0.653,0.649,10.9
223,0.653,0.649,10.9
224,0.653,0.649,10.98
225,0.653,0.65,10.94
226,0.653,0.649,10.94
227,0.653,0.65,10.98
228,0.653,0.65,10.98
229,0.653,0.649,10.98
230,0.652,0.65,10.94
231,0.653,0.65,10.86
232,0.653,0.649,10.86
233,0.653,0.649,10.98
234,0.653,0.65,10.94
235,0.653,0.65,10.98
236,0.653,0.65,10.94
237,0.653,0.65,10.94
238,0.653,0.649,10.9
239,0.653,0.649,10.9
240,0.653,0.649,10.9
