Timestamp,X,Y,Z
1,-9.64,-2.64,3.216
2,-9.65,0.646,2.745
3,-9.65,-2.64,1.412
4,-10.6,0.651,1.412
5,-9.65,0.653,1.333
8,-9.65,0.645,0.941
9,-9.65,0.648,0.549
10,-8.64,-1.65,0.862
11,-9.65,-1.65,0.235
13,-9.65,-1.65,0.392
14,-9.65,-2.65,0.862
15,-8.65,-1.64,0.902
16,-8.65,-1.64,0.627
17,-10.6,-1.65,0.784
18,-10.6,0.235,1.843
19,-8.64,0.941,0.98
20,-9.65,0.653,1.255
23,-9.64,-2,1.137
25,-7.64,-5.65,0.47
26,-9.64,-1.64,1.137
27,-9.64,-3.64,0.98
28,-8.64,-2.65,1.412
29,-8.64,-3.65,1.176
30,-8.64,-2.65,1.412
31,-9.65,-2.65,1.098
32,-9.64,-1.65,1.451
33,-8.64,-1.64,1.49
34,-9.65,-2.65,1.137
36,-8.64,-1.65,1.255
37,-9.65,-2.65,1.49
38,-10.6,-1.64,1.176
39,-8.65,0.588,1.686
40,-10.6,-1.64,1.137
41,-9.64,-1.65,1.255
42,-8.64,-1.64,1.098
43,-10.6,0.65,0.039
44,-10.6,0.647,0.902
45,-9.64,0,1.333
46,-9.65,0,1.216
47,-9.65,0.431,1.412
48,-8.64,-1.64,0.902
49,-9.64,0.647,0.75
51,-9.65,0.647,0.862
52,-10.6,-1.65,0.862
53,-7.64,0.652,0.941
54,-9.65,0,1.255
55,-10.6,0.65,1.255
56,-9.64,0.647,1.529
57,-9.65,-1.64,1.255
58,-9.65,-1.64,1.098
59,-8.64,-1.65,0.666
60,-10.6,-1.65,0.666
61,-10.6,-1.64,0.627
63,-9.65,-1.65,0.706
65,-9.64,0.654,1.019
66,-9.65,0.039,0.902
67,-8.64,0.652,1.176
68,-9.64,0.654,1.529
69,-10.6,-1.65,1.922
70,-11.6,-1.64,1.255
71,-9.64,0.078,2
72,-9.64,0.649,1.922
73,-9.65,-1.65,1.804
74,-9.65,-1.65,2.157
75,-9.65,-1.65,2.314
76,-8.65,-1.65,2.588
77,-8.64,-1.65,2.275
78,-9.65,0,1.882
79,-9.65,-1.65,1.843
80,-8.65,0.654,1.882
81,-9.65,0.651,2.235
82,-9.65,0.648,2.471
83,-9.64,0.65,2.275
84,-9.65,-1.65,2.118
85,-9.64,-1.65,1.882
86,-10.6,0.235,1.686
87,-9.65,0.645,2.314
88,-8.64,0.648,2.549
89,-9.65,0.654,2.51
90,-10.6,-1.64,2.392
91,-9.64,-1.65,2.392
92,-9.65,0.648,2.314
93,-9.65,0.649,2.157
94,-10.6,-1.65,2.471
95,-9.64,0.653,1.725
96,-10.6,-1.65,1.961
98,-9.65,-1.65,1.922
99,-9.65,-1.1,-9.641
107,-10.6,0.65,0.431
115,-9.65,0.653,1.098
118,-9.64,0.313,1.019
119,-9.64,0.274,1.098
122,-9.64,0.117,1.019
123,-9.64,0.313,1.0124
127,-9.64,0.156,0.98
128,-9.64,0.588,1.137
129,-9.64,0.549,1.137
130,-9.64,0.117,1.137
131,-9.64,0.549,1.019
