Timestamp,X,Y,Z
0,-7.65,-1.64,8.082
41,-9.65,-2.64,1.333
75,-5.64,-4.64,7.374
76,-6.65,-5.65,7.021
79,-6.65,-1.65,8.355
81,-6.64,-2.82,-7.65
85,-6.65,-3.65,7.786
97,-2.64,-4.65,9.4
100,-2.65,-3.65,9.767
1,-2.64,0.645,10.23
102,-4.64,-7.65,7.531
3,-4.65,-4.65,6.825
104,-4.65,-3.65,7.531
6,-5.64,-4.64,8.90107
108,-5.64,-4.65,9.257
110,-3.65,-4.65,10.86
111,-1.64,-4.65,9.649
114,2.667,-1.64,10.12
115,2.706,0.651,9.375
116,0.745,0.47,10.59
117,0.196,-3.65,12.35
118,0.549,-2.64,11.65
119,0.823,-2.64,10.78
120,0.784,-2.64,10.15
121,0.823,-2.64,10.19
122,0.666,-2.65,10.98
123,0.509,-2.65,11.72
124,1.098,-3.64,11.25
125,1.529,-2.64,10.7
126,1.49,-2.65,10.31
127,1.137,-2.65,10.39
128,0.666,-2.64,10.74
129,0.745,-3.65,11.21
130,0.588,-3.65,10.7
131,0.078,-2.64,10.9
132,0.235,-1.64,10.82
133,0.392,-2.65,10.47
134,0.313,-2.65,11.1
135,0.353,-1.65,11.25
136,0.653,-1.64,10.7
137,0.654,-2.65,10.7
138,0,-2.65,11.14
140,0.117,-2.65,11.37
141,0.647,-1.64,11.49
142,0.646,-2.64,9.453
143,0.902,-4.64,8.747
144,1.529,-4.64,11.17
145,1.49,-3.65,10.9
146,2.353,-2.64,10.08
148,1.176,-4.64,11.92
149,1.569,-4.64,10.63
150,1.608,-4.64,10.19
151,3.334,-3.65,10.86
152,4.158,-2.65,9.296
153,5.53,0.645,9.296
154,5.53,0.653,9.218
155,5.883,0.648,9.688
156,6.197,-1.65,8.865
157,6.237,0.078,10.04
158,5.727,0.651,9.375
159,5.57,0.65,9.532
160,6.001,0.649,10.04
161,5.217,-1.65,9.963
163,5.256,0.745,9.179
164,3.569,0.392,9.728
165,6.197,-1.64,9.022
168,5.413,-2.64,10
169,5.727,-4.64,10.31
170,5.256,-2.64,9.845
171,1.49,-2.65,11.06
172,0,-1.64,10.04
173,1.882,0.648,10.23
174,-1.65,-1.64,10
175,0.654,-5.65,10.9
176,1.019,-4.65,10.98
177,0.654,-5.64,9.335
