Timestamp,X,Y,Z
179,1.451,7.845,9.414
1,3.804,1.412,10
2,4.158,1.176,10.55
3,3.804,1.765,10.47
4,4.079,1.255,10.31
5,5.06,1.333,10.66
6,3.608,3.216,10.59
7,4.432,1.372,10.35
8,4.393,1.725,10.47
9,4.785,0.98,9.767
10,4.824,0.654,10.04
11,5.805,0.648,9.963
12,5.844,0.648,10.27
13,5.687,-1.65,9.688
14,5.805,0.65,10.15
15,5.256,0.649,9.532
16,5.57,0.647,9.453
17,5.648,-1.65,10
18,5.57,-1.65,9.885
19,6.001,0.648,9.492
20,6.158,-1.65,9.885
21,5.295,0.65,8.629
22,1.882,-1.65,9.257
23,3.373,-1.65,10.39
24,4.118,-1.64,11.21
25,3.451,-3.65,10.78
26,1.294,-3.64,9.375
27,-3.65,-3.65,11.33
28,-5.65,-5.64,9.728
29,-5.65,-4.64,7.727
30,-5.64,-5.64,6.982
31,-6.65,-5.65,7.178
32,-5.64,-4.65,6.825
33,-5.64,-5.64,6.903
34,-5.65,-3.64,7.492
35,-4.65,-4.64,7.413
36,-5.65,-4.64,6.786
37,-6.64,-4.64,6.903
38,-7.65,-3.64,6.472
39,-7.64,-4.64,6.668
40,-7.64,-3.65,6.511
41,-6.64,-2.65,7.06
42,-5.64,-3.64,7.06
43,-6.64,-3.65,6.746
44,-6.64,-3.65,6.707
45,-7.65,-3.65,6.825
46,-7.65,-3.65,7.256
47,-5.64,-2.64,7.57
48,-5.64,-3.64,7.649
49,-5.64,-4.65,7.531
50,-6.65,-3.65,7.178
51,-5.64,-4.64,6.825
52,-5.64,-5.65,7.2
54,-6.65,-4.65,7.57
56,-5.64,-3.64,7.727
57,-4.64,-4.65,8.002
58,-4.65,-5.65,8.08
59,-4.64,-4.64,8.276
60,-5.65,-4.64,8.394
61,-3.64,-3.64,8.629
62,-4.65,-4.64,8.512
63,-4.65,-3.64,8.355
64,-3.64,-3.65,8.629
65,-4.65,-4.65,8.512
66,-4.64,-4.64,8.472
67,-5.65,-4.64,7.845
68,-4.64,-4.64,8.433
69,-4.65,-4.64,8.472
70,-3.64,-4.64,8.551
73,-3.65,-5.65,8.551
74,-3.65,-5.65,8.825
75,-3.65,-4.64,9.061
76,-2.64,-4.64,8.982
77,-2.64,-4.64,9.257
78,-2.65,-4.64,8.982
79,-3.65,-5.65,8.708
80,-3.65,-5.65,9.022
81,-2.64,-4.64,8.982
82,-2,-5.65,8.865
83,-2.65,-6.64,8.316
84,-2,-6.64,7.609
85,-3.65,-6.65,7.609
86,-4.65,-5.64,7.845
87,-4.64,-6.65,7.57
88,-4.65,-5.64,7.217
89,-5.64,-5.64,6.864
90,-5.64,-6.65,6.864
91,-5.65,-4.64,7.531
92,-5.65,-5.64,7.531
93,-4.65,-4.64,7.609
94,-5.65,-5.65,7.139
95,-5.65,-4.64,7.57
96,-5.65,-4.65,7.374
97,-4.65,-6.65,7.649
98,-4.64,-5.65,7.727
99,-3.64,-5.65,7.884
100,-4.65,-6.65,8.002
101,-3.64,-5.65,8.119
102,-3.65,-6.65,7.649
103,-3.64,-5.64,7.453
104,-3.65,-5.64,6.943
105,-3.64,-7.65,6.746
106,-4.64,-7.65,6.982
107,-4.64,-6.64,7.1
108,-4.64,-5.65,7.335
109,-4.65,-5.64,7.178
110,-3.65,-6.65,7.178
111,-3.64,-6.64,6.864
112,-4.65,-6.64,6.786
113,-4.64,-7.65,6.629
114,-4.65,-5.64,6.943
115,-4.64,-6.65,6.707
116,-4.65,-5.64,6.746
117,-4.64,-6.65,6.393
118,-5.65,-5.64,6.197
119,-6.64,-5.65,5.687
120,-6.65,-5.64,5.57
121,-6.65,-5.64,5.491
122,-6.64,-5.65,5.648
123,-7.65,-5.65,5.413
124,-7.65,-4.65,5.099
125,-7.64,-4.65,5.138
126,-7.65,-4.65,5.021
127,-7.65,-4.64,5.021
128,-7.65,-5.64,4.824
129,-7.64,-5.64,4.746
130,-7.64,-5.65,5.177
131,-7.65,-3.64,5.295
132,-6.64,-4.65,5.883
133,-6.65,-4.65,6.04
134,-6.65,-4.65,5.57
135,-6.65,-5.65,6.001
136,-7.65,-5.64,5.648
138,-6.65,-4.64,6.197
139,-6.65,-4.65,6.197
140,-6.65,-4.64,5.805
141,-6.64,-4.65,5.374
142,-7.65,-4.65,5.805
143,-6.64,-2.64,6.354
146,-7.65,-3.65,5.727
147,-7.64,-2.64,6.04
148,-7.65,-2.65,7.296
149,-7.65,-2.65,7.1
150,-6.65,-2.65,7.727
151,-4.64,-2.64,8.355
152,-4.64,-3.65,8.394
