Timestamp,X,Y,Z
,,,
0,0,0,0
1,3.491,1.372,10.43
2,3.804,1.059,10.9
3,3.844,1.216,10.78
4,3.098,1.765,10.98
5,3.648,1.372,10.94
6,4.471,0.862,9.885
7,3.844,0.47,11.14
8,4.197,0.98,10.7
9,3.922,2.432,10.51
10,4.118,2.588,10.19
11,3.844,1.137,11.06
12,4.55,2.549,7.884
13,5.06,7.335,9.492
14,5.138,7.766,7.609
15,4.275,7.57,7.727
16,4.354,8.316,7.1
17,1.412,-1.64,0.654
18,4.903,0.902,8.198
19,6.825,0.653,10.15
20,7.688,1.529,10.39
21,8.041,0.666,9.924
22,7.688,0.392,9.61
23,7.492,-1.65,9.296
24,7.374,0.645,8.825
25,7.021,0.078,7.453
26,6.668,0.65,9.335
27,5.57,0.648,10.04
28,5.217,-1.64,9.845
29,5.06,-2.64,10.15
30,4.589,-2.64,10.08
31,4.864,-2.65,10.27
32,5.138,-1.65,10.55
33,5.923,0.654,10.19
34,5.687,0.648,7.884
35,6.707,-2.65,9.061
36,5.177,-3.64,9.335
37,5.452,-3.65,9.728
38,6.276,-1.65,8.786
39,5.452,-1.64,10.31
40,4.824,-3.65,9.963
41,5.06,-3.65,9.688
42,4.511,-3.65,8.316
43,4.393,0.646,8.472
44,2.941,-2.64,9.218
45,0.588,-4.65,10.55
46,0,-6.65,11.53
47,0.645,-4.64,10.78
48,-2.64,-4.64,10.12
49,-3.64,-4.64,9.571
50,-4.65,-4.65,9.806
51,-2.64,-6.65,9.649
52,-1.64,-5.65,10.12
53,-1.65,-5.65,9.492
54,-1.65,-2.64,10.66
55,2.196,0,11.84
56,1.098,-1.65,9.728
57,0.784,-1.65,10.23
58,1.333,0.645,11.45
59,1.922,0.117,11.65
60,0.647,-2.64,9.453
61,-1.65,0.65,9.963
62,0.647,-1.65,11.92
63,0.47,-2,11.53
64,0.647,-2.65,9.845
66,-4.64,-5.65,9.885
67,-7.65,-5.65,10.94
68,-7.64,-3.65,9.257
69,-5.64,-8.64,8.982
70,-2.65,-5.65,7.217
71,0.654,-1.65,8.629
72,4.001,-1.64,9.924
73,3.098,-4.65,10.86
74,1.294,-2.64,9.728
75,0.98,0.649,11.57
76,1.882,0.649,10.94
77,2.353,-1.64,11.25
78,2.51,-3.64,10.23
79,2.392,-2.65,9.375
80,1.216,1.137,9.963
81,1.804,1.019,11.25
82,-1.64,-3.64,8.943
83,-2.64,-3.65,11.25
84,0.649,-2.65,10.08
85,-3.65,-3.64,10.82
86,-5.64,-4.65,9.139
87,-6.64,-7.64,7.766
88,-7.65,-6.64,8.237
90,-3.64,-5.65,8.708
91,-2.65,-3.65,9.335
92,0.648,-1.64,9.728
93,2.353,0.549,10.35
94,2.471,0.196,11.02
95,2.157,-1.65,10.9
96,1.804,-3.65,10.19
97,0.647,1.569,11.25
98,-1.65,0.666,10.9
99,-1.65,0.196,10.98
100,-1.65,0.647,9.179
101,1.176,-2.64,8.786
102,-2.65,-4.64,10.94
103,-4.64,-9.65,11.41
106,-4.65,-6.65,8.355
107,-3.65,-3.64,8.747
108,0.652,0.647,10.31
109,1.725,0.645,9.963
110,1.098,-1.64,10.47
111,2.157,0.651,11.25
112,-1.65,0.649,11.65
113,0.647,-2.65,12.43
114,-1.65,0.645,10.04
115,1.059,0.647,8.825
116,0.651,-1.65,8.747
117,-1.64,-2.64,9.139
118,-1.65,-3.65,11.57
119,-4.65,-7.64,9.806
120,-7.65,-9.64,8.394
121,-7.64,-7.64,8.825
122,-3.64,-5.64,8.551
123,-1.64,-4.65,9.375
124,-1.64,-1.64,9.767
125,-5.65,-3.65,8.159
126,4.707,-2.64,9.532
127,1.529,-1.65,9.335
128,0.649,-1.65,12.35
129,-3.65,0.823,12.04
130,-1.65,-1.65,11.02
131,-2.65,0.274,8.041
132,-2.64,-3.64,8.708
133,2.588,-5.65,8.825
134,-5.64,-6.65,13.41
137,-4.65,-6.65,10
138,-3.65,-4.64,8.355
139,-2.64,0.647,9.022
140,5.648,2.941,8.08
141,3.373,0.65,11.02
142,-2.65,0.645,-9.65
143,0.646,0.652,12.04
144,-1.65,0.313,12.55
145,0,0.65,12.16
146,0.651,0.235,9.885
147,-1.65,-1.65,8.825
148,0.649,-2.64,9.218
9,0.65,-3.65,11.14
151,-8.65,-7.65,8.825
153,-6.64,-5.64,9.296
154,0.65,-5.65,7.727
155,0.647,-2.64,7.806
156,4.432,0.862,8.786
157,5.099,0.651,10.19
