Timestamp,X,Y,Z
0,10.12,0.784,6.354
1,10,1.412,5.962
2,10.04,1.019,5.53
3,10.43,0.902,5.374
4,9.885,1.255,5.177
5,10.08,1.255,5.177
6,10.15,0.98,4.903
7,10.27,1.372,4.824
8,9.688,0.862,4.236
9,11.65,1.019,4.471
10,10.27,1.255,4.824
11,10.47,0.941,4.903
12,10.27,0.784,5.021
13,9.885,0.862,4.903
14,10.23,0.706,5.138
15,10.23,0.549,5.177
16,6.315,-2.65,6.59
17,10.31,0.313,5.295
18,10.15,1.059,5.491
19,9.924,0.509,4.981
20,60.4,0.196,0.196
21,60.4,0.196,0.196
22,60.4,0.196,0.196
23,60.4,0.196,0.196
24,60.4,0.196,0.196
25,60.4,0.196,0.196
26,60.4,0.196,0.196
27,60.4,0.196,0.196
28,60.4,0.196,0.196
29,60.4,0.196,0.196
30,60.4,0.196,0.196
31,60.4,0.196,0.196
32,60.4,0.196,0.196
33,60.4,0.196,0.196
34,60.4,0.196,0.196
35,60.4,0.196,0.196
36,60.4,0.196,0.196
37,60.4,0.196,0.196
38,60.4,0.196,0.196
39,60.4,0.196,0.196
40,60.4,0.196,0.196
41,60.4,0.196,0.196
42,60.4,0.196,0.196
43,60.4,0.196,0.196
44,60.4,0.196,0.196
45,60.4,0.196,0.196
46,60.4,0.196,0.196
47,60.4,0.196,0.196
48,60.4,0.196,0.196
49,60.4,0.196,0.196
50,60.4,0.196,0.196
51,60.4,0.196,0.196
52,60.4,0.196,0.196
53,60.4,0.196,0.196
54,60.4,0.196,0.196
55,60.4,0.196,0.196
56,60.4,0.196,0.196
57,60.4,0.196,0.196
58,60.4,0.196,0.196
59,60.4,0.196,0.196
60,60.4,0.196,0.196
61,60.4,0.196,0.196
62,60.4,0.196,0.196
63,60.4,0.196,0.196
64,60.4,0.196,0.196
65,60.4,0.196,0.196
66,60.4,0.196,0.196
67,60.4,0.196,0.196
68,60.4,0.196,0.196
69,60.4,0.196,0.196
70,60.4,0.196,0.196
71,60.4,0.196,0.196
72,60.4,0.196,0.196
73,60.4,0.196,0.196
74,60.4,0.196,0.196
75,60.4,0.196,0.196
76,60.4,0.196,0.196
77,60.4,0.196,0.196
78,60.4,0.196,0.196
79,60.4,0.196,0.196
80,60.4,0.196,0.196
81,60.4,0.196,0.196
82,60.4,0.196,0.196
83,60.4,0.196,0.196
84,60.4,0.196,0.196
85,60.4,0.196,0.196
86,60.4,0.196,0.196
87,60.4,0.196,0.196
88,60.4,0.196,0.196
89,60.4,0.196,0.196
90,60.4,0.196,0.196
91,60.4,0.196,0.196
92,60.4,0.196,0.196
93,60.4,0.196,0.196
94,60.4,0.196,0.196
95,60.4,0.196,0.196
96,60.4,0.196,0.196
97,60.4,0.196,0.196
98,60.4,0.196,0.196
99,60.4,0.196,0.196
100,60.4,0.196,0.196
101,60.4,0.196,0.196
102,60.4,0.196,0.196
103,60.4,0.196,0.196
104,60.4,0.196,0.196
105,60.4,0.196,0.196
106,60.4,0.196,0.196
107,60.4,0.196,0.196
108,60.4,0.196,0.196
109,60.4,0.196,0.196
110,60.4,0.196,0.196
111,60.4,0.196,0.196
112,60.4,0.196,0.196
113,60.4,0.196,0.196
114,60.4,0.196,0.196
115,60.4,0.196,0.196
116,60.4,0.196,0.196
117,60.4,0.196,0.196
118,60.4,0.196,0.196
119,60.4,0.196,0.196
120,60.4,0.196,0.196
121,60.4,0.196,0.196
122,60.4,0.196,0.196
123,60.4,0.196,0.196
124,60.4,0.196,0.196
125,60.4,0.196,0.196
126,60.4,0.196,0.196
127,60.4,0.196,0.196
128,60.4,0.196,0.196
129,60.4,0.196,0.196
130,60.4,0.196,0.196
131,60.4,0.196,0.196
132,60.4,0.196,0.196
133,60.4,0.196,0.196
134,60.4,0.196,0.196
135,60.4,0.196,0.196
136,60.4,0.196,0.196
137,60.4,0.196,0.196
138,60.4,0.196,0.196
139,60.4,0.196,0.196
140,60.4,0.196,0.196
141,60.4,0.196,0.196
142,60.4,0.196,0.196
143,60.4,0.196,0.196
144,60.4,0.196,0.196
145,60.4,0.196,0.196
146,60.4,0.196,0.196
147,60.4,0.196,0.196
148,60.4,0.196,0.196
149,60.4,0.196,0.196
150,60.4,0.196,0.196
151,60.4,0.196,0.196
152,60.4,0.196,0.196
153,60.4,0.196,0.196
154,60.4,0.196,0.196
155,60.4,0.196,0.196
156,60.4,0.196,0.196
157,60.4,0.196,0.196
158,60.4,0.196,0.196
159,60.4,0.196,0.196
160,60.4,0.196,0.196
161,60.4,0.196,0.196
162,60.4,0.196,0.196
163,60.4,0.196,0.196
164,60.4,0.196,0.196
165,60.4,0.196,0.196
166,60.4,0.196,0.196
167,60.4,0.196,0.196
168,60.4,0.196,0.196
169,60.4,0.196,0.196
170,60.4,0.196,0.196
171,60.4,0.196,0.196
172,60.4,0.196,0.196
173,60.4,0.196,0.196
174,60.4,0.196,0.196
175,60.4,0.196,0.196
176,60.4,0.196,0.196
177,60.4,0.196,0.196
178,60.4,0.196,0.196
179,60.4,0.196,0.196
180,60.4,0.196,0.196
181,60.4,0.196,0.196
182,60.4,0.196,0.196
183,60.4,0.196,0.196
184,60.4,0.196,0.196
185,60.4,0.196,0.196
186,60.4,0.196,0.196
187,60.4,0.196,0.196
188,60.4,0.196,0.196
189,60.4,0.196,0.196
190,60.4,0.196,0.196
191,60.4,0.196,0.196
192,60.4,0.196,0.196
193,60.4,0.196,0.196
194,60.4,0.196,0.196
195,60.4,0.196,0.196
196,60.4,0.196,0.196
197,60.4,0.196,0.196
198,60.4,0.196,0.196
199,60.4,0.196,0.196
200,60.4,0.196,0.196
201,60.4,0.196,0.196
202,60.4,0.196,0.196
203,60.4,0.196,0.196
204,60.4,0.196,0.196
205,60.4,0.196,0.196
206,60.4,0.196,0.196
207,60.4,0.196,0.196
208,60.4,0.196,0.196
209,60.4,0.196,0.196
210,60.4,0.196,0.196
211,60.4,0.196,0.196
212,60.4,0.196,0.196
213,60.4,0.196,0.196
214,60.4,0.196,0.196
215,60.4,0.196,0.196
216,60.4,0.196,0.196
217,60.4,0.196,0.196
218,60.4,0.196,0.196
219,60.4,0.196,0.196
220,60.4,0.196,0.196
221,60.4,0.196,0.196
222,60.4,0.196,0.196
223,60.4,0.196,0.196
224,60.4,0.196,0.196
225,60.4,0.196,0.196
226,60.4,0.196,0.196
227,60.4,0.196,0.196
228,60.4,0.196,0.196
229,60.4,0.196,0.196
230,60.4,0.196,0.196
231,60.4,0.196,0.196
232,60.4,0.196,0.196
233,60.4,0.196,0.196
234,60.4,0.196,0.196
235,60.4,0.196,0.196
236,60.4,0.196,0.196
237,60.4,0.196,0.196
238,60.4,0.196,0.196
239,60.4,0.196,0.196
240,60.4,0.196,0.196
241,60.4,0.196,0.196
242,60.4,0.196,0.196
243,60.4,0.196,0.196
244,60.4,0.196,0.196
245,60.4,0.196,0.196
246,60.4,0.196,0.196
247,60.4,0.196,0.196
248,60.4,0.196,0.196
249,60.4,0.196,0.196
250,60.4,0.196,0.196
251,60.4,0.196,0.196
252,60.4,0.196,0.196
253,60.4,0.196,0.196
254,60.4,0.196,0.196
255,60.4,0.196,0.196
256,60.4,0.196,0.196
257,60.4,0.196,0.196
258,60.4,0.196,0.196
259,60.4,0.196,0.196
260,60.4,0.196,0.196
261,60.4,0.196,0.196
262,60.4,0.196,0.196
263,60.4,0.196,0.196
264,60.4,0.196,0.196
265,60.4,0.196,0.196
267,60.4,0.196,0.196
268,60.4,0.196,0.196196
270,60.4,0.196,0.196
271,60.4,0.196,0.196
272,60.4,0.196,0.196
273,60.4,0.196,0.196
274,60.4,0.196,0.196
275,60.4,0.196,0.196
276,60.4,0.196,0.196
277,60.4,0.196,0.196
278,60.4,0.196,0.196
279,60.4,0.196,0.196
280,60.4,0.196,0.196
281,60.4,0.196,0.196
282,60.4,0.196,0.196
283,60.4,0.196,0.196
284,60.4,0.196,0.196
285,60.4,0.196,0.196
286,60.4,0.196,0.196
287,60.4,0.196,0.196
288,60.4,0.196,0.196
289,60.4,0.196,0.196
290,60.4,0.196,0.196
291,60.4,0.196,0.196
292,60.4,0.196,0.196
293,60.4,0.196,0.196
294,60.4,0.196,0.196
295,60.4,0.196,0.196
296,60.4,0.196,0.196
297,60.4,0.196,0.196
298,60.4,0.196,0.196
299,60.4,0.196,0.196
300,60.4,0.196,0.196
301,60.4,0.196,0.196
302,60.4,0.196,0.196
303,60.4,0.196,0.196
304,60.4,0.196,0.196
305,60.4,0.196,0.196
306,60.4,0.196,0.196
307,60.4,0.196,0.196
308,60.4,0.196,0.196
309,60.4,0.196,0.196
310,60.4,0.196,0.196
311,60.4,0.196,0.1
1,3.961,9.335,7.453
2,4.118,9.335,7.531
3,4.903,7.57,7.296
4,5.57,7.178,6.59
5,6.943,7.06,6.276
6,7.531,6.511,5.177
7,7.531,7.688,4.589
8,6.629,6.119,7.374
9,7.453,0.653,7.845
10,7.256,2.392,9.806
11,7.531,2.941,9.728
12,7.453,3.765,8.198
13,6.864,2.745,8.904
14,7.766,2.51,8.08
15,7.335,1.804,9.179
16,6.903,2.314,8.982
17,7.649,2.353,8.59
18,7.766,3.138,8.904
19,7.531,3.177,7.727
20,8.08,3.295,8.355
21,8.394,2.706,7.139
22,9.335,2.353,6.433
23,8.786,2.941,6.001
24,9.924,3.53,6.354
25,9.179,3.059,6.08
26,10.04,3.216,6.119
27,10,3.922,6.472
28,9.257,4.236,5.413
29,9.885,4.354,3.451
30,9.924,4.707,2.981
31,10.04,4.981,2.157
32,9.296,5.021,1.176
33,9.61,5.374,1.412
34,8.904,5.57,1.608
35,8.708,6.001,1.372
36,9.218,6.158,1.019
37,9.1,5.648,1.451
38,9.845,5.06,1.412
39,10.19,4.903,3.922
40,10.04,3.961,4.001
41,9.688,3.922,4.589
42,10.15,4.864,4.707
43,8.512,5.334,4.118
44,8.433,5.021,3.53
45,9.688,5.099,3.883
46,10.39,4.942,4.981
47,9.532,4.942,4.824
48,9.335,5.099,3.922
49,9.375,4.942,3.295
50,9.571,4.197,3.295
51,10.15,4.118,4.236
52,10.39,4.04,4.746
53,8.747,4.158,4.824
54,9.571,4.393,0.549
