Timestamp,X,Y,Z
1,2.863,2.863,10
2,2.628,3.255,10.31
3,3.334,3.059,10.47
4,3.648,2.824,10.35
5,2.981,3.569,10.15
6,3.648,4.118,10.39
7,2.785,2.079,10.82
8,0.98,1.49,10.35
9,4.55,7.845,8.551
10,1.333,7.531,7.884
11,6.001,2.471,7.609
12,6.04,3.961,10.66
13,6.864,2.863,10.9
15,3.922,3.02,11.25
18,3.687,0.156,10.66
19,3.922,0.652,11.21
21,2.902,0.654,10.86
22,1.608,0.653,11.17
23,0.862,0.648,10.94
24,1.608,0.647,11.29
25,1.569,-2.64,11.21
26,2.392,-3.65,11.29
27,2.471,-3.65,10.23
28,1.765,-2.65,10
29,1.647,-2.64,11.33
30,1.569,-2.64,12.19
31,1.019,-1.65,11.21
32,0.549,0.941,10.04
33,0.651,0.634,0.646
35,3.922,-3.64,9.296
36,3.726,-2.64,11.61
37,1.216,-4.64,10.35
38,0.652,-4.65,10.66
39,-2.65,-4.65,10.12
40,-3.65,-5.65,9.571
41,-3.65,-5.64,8.904
42,-3.65,-5.65,8.865
43,-3.65,-5.65,9.179
44,-3.65,-3.64,10.19
45,-2.64,-3.64,10.23
46,-2.64,-3.65,10.23
47,0.646,-2.64,10.59
48,-1.65,-3.65,10.39
49,-1.64,0.652,11.45
50,0.039,0.47,11.45
51,0.117,1.647,10.31
52,-1.65,0.039,10
53,0.313,0.647,11.84
54,0.654,0.117,11.14
55,0.078,-1.65,11.02
59,1.451,0.652,11.49
60,1.255,0.651,11.21
61,1.255,1.569,11.17
62,0.274,3.53,12.23
63,0.648,2.353,10.19
64,-5.65,1.372,7.139
65,-9.64,-4.64,7.727
66,-10.6,-9.64,10.23
67,-11.6,-6.65,10.9
68,-14.6,0.235,10.12
69,-2.64,-7.64,10.12
72,-2.65,1.216,10.15
73,-20.6,10.9,15.02
74,-6.64,2.75,0.666
76,-2.64,0.039,10.7
80,-11.6,-10.6,7.139
81,-10.6,-8.65,6.59
82,-14.6,-4.65,3.02
83,-12.6,1.882,6.746
84,5.491,-10.6,9.649
85,2.353,6.354,11.33
86,2.118,5.53,7.531
87,1.49,2.549,12.31
88,-2.65,0.117,11.61
89,-8.65,4.236,7.806
90,-2.65,-1.65,10.35
92,-4.64,-6.65,10.9
93,-2.64,-6.64,12.63
94,-2.65,-2.64,9.1
97,-3.65,-6.65,10.15
98,-1.64,-5.65,11.17
99,0.654,-2.65,9.649
100,0.627,0.647,11.02
101,0.509,-2.65,10.55
102,0.65,0.648,10.9
103,0.235,-1.64,10.86
104,2.275,-1.65,11.84
105,1.333,0.706,11.45
106,0.941,0.235,11.02
107,0.156,0.98,10.78
108,0.652,0.549,10.94
109,0.706,0.654,10.55
110,0.654,1.176,11.68
111,1.725,2.51,13.06
112,2.785,3.765,11.96
113,0.647,0.784,9.806
