Timestamp,X,Y,Z
1,2.235,0.706,10.43
2,2.51,0.647,11.21
3,3.02,0.65,11.84
4,2.51,0,11.65
5,2,0.647,10.94
6,1.725,1.059,10.47
7,2.118,0.274,10.7
8,1.647,0.196,11.41
9,0.941,0.653,10.86
10,0.862,2.706,10.43
11,0.588,0.862,11.8
12,1.294,0.652,11.65
13,1.137,0.627,10.7
14,0.745,0.588,9.218
15,-1.65,0.98,9.649
16,-4.65,0.647,10.08
17,-1.64,0.117,7.806
18,-7.65,-1.65,9.061
19,-9.65,-1.64,7.609
20,-9.64,-1.65,6.237
21,-11.6,1.569,3.216
22,-12.6,2.549,1.725
23,-7.65,4.04,0.653
24,-7.65,6.158,2.549
25,-7.65,12.7,5.413
26,-6.65,11.37,6.59
27,-7.65,5.727,5.962
28,0.823,6.707,7.531
29,-1.65,9.1,1.137
30,-2.65,6.825,8.433
31,-2.65,10.04,9.61
32,-1.64,10.12,9.806
33,0.653,3.608,10
34,-2.65,3.765,7.178
35,-6.65,3.451,7.06
36,-10.6,3.098,5.53
37,-12.6,0.784,6.001
38,-10.6,0.156,4.471
39,-11.6,3.02,3.138
40,-12.6,2.039,0.823
41,-12.6,3.844,2.039
42,-7.65,6.158,4.864
43,-7.64,9.532,5.295
44,-1.65,0.156,11.57
45,0.98,0.645,11.33
46,-1.64,6.55,0.431
47,-7.65,5.648,4.001
48,-7.65,7.139,9.649
49,-6.64,19.02,10.9
50,-3.65,7.374,9.532
51,-4.65,5.295,5.883
52,-6.64,4.628,7.453
53,-8.64,0.588,7.649
54,-8.65,-1.65,8.551
56,-10.6,-2.65,3.53
57,-8.64,1.686,4.628
58,-10.6,4.824,5.766
59,-11.6,6.707,4.942
60,-8.64,1.333,7.06
61,-5.64,3.451,9.688
62,-2.65,3.059,5.295
63,0.649,7.923,4.55
64,-4.65,3.804,10.35
65,-5.65,6.08,11.25
66,-1.65,6.825,9.179
67,0.646,4.667,11.14
68,0.645,6.354,10.98
69,-2.65,4.785,9.257
70,-5.65,1.608,9.257
71,-8.65,2.392,8.629
72,-6.65,1.019,9.061
73,-9.65,1.059,7.923
74,-10.6,-3.65,6.119
75,-12.6,2.706,3.53
76,-11.6,0.646,2.549
77,-11.6,5.609,6.433
78,-10.6,5.609,7.884
79,-3.65,0.313,10.08
80,-5.64,-5.64,7.531
81,-1.65,3.216,7.963
82,-1.65,10,4.55
83,0.648,7.766,7.453
84,-2.64,6.393,7.688
85,-4.65,9.061,8.786
86,-4.64,5.57,8.119
87,-3.64,5.099,8.394
88,-5.65,7.021,6.903
89,-7.65,2.235,7.413
92,-10.6,0.431,6.55
93,-11.6,1.372,3.804
94,-11.6,2.196,2.432
95,-11.6,6.001,3.138
96,-8.65,9.963,1.686
97,-9.64,7.256,4.236
98,-2.65,-2.65,8.786
99,-1.64,10,7.609
100,0,6.04,4.04
101,-2.65,4.707,8.276
102,-4.65,8.159,9.963
103,-3.65,6.276,8.355
104,-2.64,4.001,11.17
105,-3.65,4.275,9.139
106,-4.64,2.079,7.374
107,-7.64,0.039,8.316
108,-8.64,0.313,7.453
,,,
111,-10.6,1.294,4.197
112,-10.6,4.55,4.824
113,-12.6,5.844,5.217
114,-3.65,0.588,7.178
115,-6.64,2.588,8.159
116,0.274,5.923,5.452
117,2.628,5.256,8.119
118,-5.65,0.196,12.04
119,-3.65,5.844,9.963
120,-1.64,5.295,8.002
121,-2.64,2.353,11.33
122,-4.64,3.726,10.12
123,-5.65,0.274,7.963
124,-6.64,-1.65,8.865
126,-9.65,-5.65,7.1
127,-12.6,0.745,6.746
128,-13.6,0.98,6.943
129,-2.64,-1.64,7.963
130,-5.65,3.138,5.687
131,-3.65,6.237,3.451
132,-3.65,3.412,6.746
133,-7.64,2.51,9.61
134,-6.65,7.335,7.453
135,-3.65,3.412,10.82
136,-3.64,4.55,8.433
137,-6.65,0.784,5.923
138,-7.65,-3.64,9.335
139,-12.6,-2.65,10.55
0,-9.64,-5.65,6.119
141,-11.6,-2.65,4.785
142,-12.6,2.275,5.648
143,-11.6,-2.65,7.256
144,-4.65,-2.64,6.433
145,-4.65,0.651,6.707
146,-9.65,1.765,2.745
147,-7.65,5.923,5.256
148,-6.65,9.767,7.021
149,-4.65,6.629,9.414
150,0.648,2.196,8.708
151,-3.65,0.653,7.923
154,-8.64,-3.65,8.002
156,-11.6,-1.65,4.04
157,-11.6,0.117,2.981
158,-12.6,1.725,3.883
159,-5.64,-2.64,6.393
160,-5.64,0.65,6.119
161,-6.65,3.922,5.766
162,-3.64,4.746,7.178
163,-3.65,0.431,10.47
164,-6.64,2.745,11.84
165,-1.65,3.53,9.61
166,-3.65,2,9.335
167,-3.65,1.608,11.25
168,-3.65,2.549,8.512
169,-5.64,0.649,8.747
170,-5.65,0.646,10.15
171,-6.65,-1.65,8.747
172,-10.6,-1.65,7.1
173,-8.64,-2.65,4.746
174,-10.6,0.47,4.589
175,-13.6,3.138,3.608
176,-12.6,4.903,1.686
177,-8.64,2.079,4.785
178,-3.64,-2.64,6.393
179,-4.65,1.647,6.237
180,0.649,5.923,9.492
181,1.451,5.766,9.453
182,1.255,4.785,11.65
183,0.156,2.118,10.51
184,-2.65,2.941,9.296
185,-4.64,2.981,9.257
186,-2.65,1.333,11.41
187,-3.65,2.941,8.355
188,-5.64,1.843,8.825
189,-7.65,0.47,8.041
190,-9.65,0.65,8.394
193,-10.6,2.353,3.177
194,-11.6,7.453,3.255
195,-12.6,7.335,4.079
196,-5.65,4.432,5.295
197,0.98,0.651,6.903
198,1.059,6.825,8.159
199,-3.65,5.727,9.492
200,-1.65,5.021,9.845
201,-1.65,5.766,10.23
202,-2.65,4.354,8.669
203,-1.64,1.216,11.1
204,-3.64,2.981,9.257
205,-4.65,1.882,6.943
208,-10.6,0.647,5.687
209,-9.65,1.059,5.217
210,-11.6,0.649,3.491
211,-12.6,2.51,5.06
212,-10.6,4.628,3.804
213,-8.64,8.002,7.963
214,-3.65,-6.65,9.532
215,2.588,5.217,7.296
216,0.784,5.452,7.413
217,5.021,2.157,9.218
218,4.628,4.001,10.08
219,0.941,2.706,12.39
220,0.509,1.176,9.963
221,-1.64,3.059,12.23
222,-3.65,2.118,8.237
223,-5.65,1.412,10.04
224,-6.64,0.651,8.394
225,-8.65,-4.65,8.041
226,-12.6,0.647,7.57
228,-13.6,0.653,5.687
229,-13.6,0.652,5.491
230,-7.64,-1.64,7.453
231,1.451,-6.64,5.883
232,-5.65,1.294,6.59
233,-5.64,2.196,11.02
234,0.039,6.746,10.63
235,1.451,3.138,7.492
236,-3.65,6.354,9.218
237,-4.65,1.49,9.571
238,-1.65,1.098,10.15
239,-3.65,2.118,9.022
240,-5.65,0.745,8.472
241,-6.64,0.706,10.19
242,-5.65,0.649,8.119
243,-8.65,0.653,7.649
244,-10.6,-1.64,5.374
245,-11.6,2.667,3.569
246,-9.65,2.941,4.354
247,-8.64,6.433,3.922
248,-10.6,10,4.785
249,-5.64,1.843,6.746
250,-2.65,1.255,7.139
251,0.588,3.491,9.257
252,0.862,6.55,9.218
253,1.922,3.883,9.257
254,2.079,8.198,9.963
255,0.647,3.334,9.139
256,-1.64,0.941,11.29
257,-2.64,2.785,9.257
258,-3.65,2.824,7.963
259,-4.65,1.922,9.688
260,-5.65,1.49,9.179
261,-8.65,0.651,9.139
262,-10.6,-1.64,6.315
264,-11.6,1.49,6.001
265,-8.64,3.844,3.844
266,-11.6,3.373,4.275
267,-10.6,7.217,5.609
268,-4.64,3.216,5.53
269,-2.64,7.453,6.864
270,-3.65,6.472,5.099
271,-2.65,7.766,6.746
272,-2,8.041,9.335
273,-3.65,4.667,9.335
274,0.651,5.138,9.963
275,-2.64,5.687,9.885
276,-3.65,5.138,9.453
277,-3.65,6.511,8.119
278,-3.65,-1.65,8.786
279,-6.65,2.118,9.414
280,-7.65,1.843,7.845
281,-8.64,-2.65,7.139
282,-10.6,0.652,5.609
285,-12.6,0.941,1.804
286,-10.6,2.432,2.628
287,-10.6,4.824,4.942
288,-4.65,-5.65,7.688
289,-2.65,7.374,7.492
290,0.902,7.492,6.746
293,-1.64,9.061,10.04
294,0,3.059,10.78
295,-1.64,3.059,9.061
296,-2.64,0.235,10.94
297,-1.65,0.509,10
298,-3.64,0.706,9.179
299,-5.65,0.654,8.786
300,-5.65,0.653,9.963
301,-8.64,-2.65,7.963
302,-7.64,-2.65,6.982
303,-10.6,0.65,5.72304
305,-13.6,0.902,3.961
306,-10.6,3.098,4.746
307,-6.65,0.666,7.139
308,-4.64,4.236,6.903
309,-5.65,5.805,7.178
310,-2.65,4.903,7.531
311,-1.65,7.57,8.825
312,0.653,6.433,9.1
313,-1.65,3.295,10.78
314,-1.64,4.314,10.23
315,-1.65,2.706,11.1
316,-1.65,2.314,10.74
317,0.648,0.941,8.159
318,-3.65,1.059,9.335
319,-6.65,0.647,8.982
320,-5.65,-3.65,9.532
322,-10.6,-2.65,7.06
23,-10.6,0.649,5.217
324,-11.6,0.313,5.609
325,-11.6,0.431,5.334
326,-7.65,-4.64,4.981
327,-4.65,-2.64,6.433
328,-3.65,0.235,8.041
329,0.653,2.981,10.78
330,2.667,2.157,9.845
331,4.746,1.647,9.532
332,2.549,2.51,11.45
333,0.117,1.529,11.84
334,0.647,1.843,10.9
335,0.654,0.078,10.35
336,-1.65,1.49,10.51
337,-3.65,3.255,9.571
338,-3.65,0.902,9.296
339,-1.65,-2.64,9.179
340,-4.64,-2.64,9.257
341,-10.6,-2.65,9.453
342,-10.6,-1.65,5.343
344,-11.6,0.648,4.746
345,-9.64,-2.64,6.433
346,-6.65,-6.64,6.276
347,-3.64,1.608,6.315
348,-4.64,0.078,8.472
349,-1.64,3.491,9.296
350,0.649,1.882,9.767
351,0.235,4.864,12.63
352,-1.65,3.177,12.86
353,0.649,2.745,10.7
354,0.648,3.844,10.19
355,-3.65,0.745,10.08
356,-3.64,0.666,9.532
357,-5.65,-1.64,8.198
358,-6.65,-2.65,9.767
359,-8.65,-1.64,9.022
360,-7.64,-3.65,8.119
