Timestamp,X,Y,Z
1683803889086,0.23,-5.6,9.80
1683803889092,0.65,-3.6,9.76
1683803889096,0.65,0.65,11.0
1683803889098,0.07,0.65,12.9
1683803890046,0.03,-1.6,11.9
1683803890114,0.66,-1.6,11.6
1683803890117,0.58,-2.6,10.9
1683803890121,1.05,-3.6,10.0
1683803890124,0.65,-2.6,10.0
1683803891148,-1.6,-1.6,11.8
1683803892004,-1.6,-2.6,11.0
1683803892007,-1.6,-3.6,10.3
1683803892012,0.86,-2.0,8.94
1683803892014,0.15,0.65,10.9
1683803893018,0.15,-4.6,10.9
1683803893083,-1.6,-5.6,9.96
1683803893086,-2.0,-5.6,10.3
1683803893090,0.65,-2.6,11.1
1683803894040,0.65,0.62,13.1
1683803895064,0.03,-3.6,11.1
1683803895141,-1.6,-2.6,11.0
1683803895143,0.65,-1.6,11.1
1683803896087,0.65,0.65,10.8
1683803897009,-3.6,0.65,10.3
1683803897076,-3.6,-1.6,10.9
1683803898033,-3.6,-1.6,10.8
1683803898094,-3.6,-2.6,10.0
1683803899057,0.65,-1.6,11.4
1683803899132,1.25,-4.6,10.6
1683803901106,4.47,0.23,10.6
1683803901162,4.86,0.86,12.1
1683803901164,3.92,0.19,11.6
1683803901166,2.98,-1.6,11.3
1683803902027,0.65,-3.6,10.0
1683803902085,0.65,-2.6,9.45
1683803903050,1.52,-6.6,9.53
1683803904141,0.15,0.65,12.5
1683803904144,0.58,-2.6,11.4
1683803906020,1.96,-4.6,9.5
1683803907152,-2.6,-4.6,8.47
1683803907154,0.65,-6.6,8.35
1683803908282,0.62,-8.6,8.47
1683803908286,0.78,-6.6,10.2
1683803909093,1.05,0.65,11.8
1683803909169,1.84,-3.6,10.5
1683803910098,3.56,-3.6,10.2
1683803911550,2.31,-2.6,11.4
1683803911554,0.65,-3.6,11.2
1683803911558,2.47,-6.6,8.55
1683803911561,0.47,-4.6,9.45
1683803911564,1.33,2.19,12.8
1683803912062,0.15,2.62,12.3
1683803912125,0.82,1.49,12.0
1683803912127,1.45,-3.6,11.5
1683803912131,1.60,-5.6,10.3
1683803913086,0.43,-4.6,9.29
1683803914528,0.65,-1.6,11.2
1683803914530,-1.6,-2.6,10.5
1683803914533,-1.6,-3.6,11.0
1683803916115,2.43,1.17,11.4
1683803916116,2.07,0.35,11.5
1683803916117,0.65,0.50,11.5
1683803917080,0.65,0.65,11.3
