Timestamp,X,Y,Z
18,1.529,1.765,10.94
1,0.651,2.157,10.47
2,0.651,2.314,10.9
3,0.651,2.314,11.06
4,0.651,2.314,10.94
5,0.651,2.353,11.02
6,0.651,2.314,11.06
7,0.651,2.235,11.1
8,0.651,2.275,11.06
9,0.651,2.314,11.06
10,0.651,2.235,11.06
11,0.651,2.235,11.02
12,0.651,2.275,11.06
13,0.651,2.275,11.06
14,0.651,2.314,11.06
15,0.651,2.275,11.06
16,0.651,2.235,11.1
17,0.653,2.235,11.1
18,0.653,2.275,11.06
19,0.651,2.275,11.1
20,0.651,2.275,11.06
21,1.019,1.569,11.02
22,1.294,5.138,10.15
23,1.608,2.039,10.94
24,2.706,1.843,10.43
25,4.746,1.922,10.59
26,7.374,3.569,9.806
27,6.315,3.334,8.786
28,8.198,3.491,7.845
29,7.57,4.55,7.139
30,9.179,4.785,5.217
31,9.414,4.197,4.001
32,10.31,4.197,1.961
33,9.845,4.707,0.039
34,8.943,4.589,0.65
35,9.335,4.354,0.078
36,9.218,3.922,4.589
37,7.806,2.981,7.766
38,5.217,2.353,9.688
39,3.922,1.569,11.33
40,1.529,1.412,10.51
41,-1.65,0.039,11.88
42,0.235,0.654,11.45
43,-1.64,-1.65,12.12
44,-1.64,0.648,10.31
45,-2.64,-1.64,9.767
46,-4.65,-2.64,10.04
47,-4.64,-2.64,9.649
48,-2.64,-1.64,10.08
49,-2.65,-1.65,11.25
50,-2,-2.65,9.649
51,0.652,-1.65,12.82
52,1.843,0.653,11.29
53,3.295,0.313,11.06
54,5.57,2.353,9.924
55,6.825,3.02,8.08
56,7.963,4.354,6.982
57,8.708,4.55,5.57
58,9.139,4.667,3.451
59,10.31,5.727,0.646
60,8.982,5.334,0.902
61,10,5.57,-1.64
62,8.355,3.373,-5.64
63,4.118,2.079,-7.64
64,4.393,2.314,-6.64
65,3.216,2.196,-7.64
66,2.549,2.275,-7.65
67,1.255,1.725,-7.65
68,0.653,0.941,-7.64
69,-2.65,0.902,-8.65
70,0.649,1.49,-7.64
71,1.569,0.706,-8.64
72,3.648,1.804,-7.64
73,6.55,2.549,-6.65
74,8.982,2.588,-3.64
75,8.59,1.725,-2.64
76,10.27,1.922,0
77,10.04,1.961,2.981
78,9.767,1.961,6.315
79,7.531,1.569,7.1
80,6.943,1.372,9.728
81,4.55,0.823,10.12
82,1.451,0.078,11.8
83,-1.65,-1.65,11.72
84,0.745,0.235,10.15
85,6.707,-1.65,7.884
86,9.61,2.353,8.08
87,9.335,2.902,0.078
88,9.179,3.216,-2.65
89,9.453,3.255,0.653
90,9.335,3.334,3.491
91,7.217,2,10.47
92,4.354,0.588,10.23
93,1.372,0.431,12.39
94,1.647,0.588,12.43
95,0.196,0.902,9.296
96,4.197,2.785,11.65
97,2.588,0.353,11.49
98,1.412,0.941,11.45
99,2.941,1.451,10.94
100,6.472,2.549,9.806
101,10.04,4.04,2.079
102,6.943,4.667,11.06
103,10.23,3.412,3.648
104,5.57,2.314,8.119
105,6.354,3.765,9.924
106,8.394,3.373,6.825
107,7.806,4.001,8.276
108,7.963,3.491,7.531
109,7.806,3.412,7.688
110,8.276,3.373,7.413
111,8.472,4.785,6.629
112,10.39,6.237,2.157
113,7.531,5.648,0.653
114,8.786,5.217,-1.64
115,7.884,4.04,-5.65
116,6.668,3.138,-7.65
